"Step","selection.enable: false - val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1","selection.enable: false - val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1__MIN","selection.enable: false - val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1__MAX","selection.enable: true - val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1","selection.enable: true - val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1__MIN","selection.enable: true - val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1__MAX"
"0","0.5300120048019208","0.5252100840336135","0.5324129651860744","0.53109243697479","0.5302120848339336","0.5322128851540616"
"3","0.5439775910364146","0.5414165666266506","0.5478191276510604","0.5440976390556223","0.539015606242497","0.5494197679071628"
"6","0.5582633053221289","0.553421368547419","0.5608243297318928","0.5748299319727892","0.5710284113645459","0.5836334533813525"
"9","0.5801120448179272","0.5742296918767507","0.584233693477391","0.5995998399359743","0.5940376150460184","0.611844737895158"
"12","0.5918367346938775","0.5880352140856343","0.6002400960384153","0.6126050420168067","0.6024409763905563","0.6164465786314526"
"15","0.6014405762304922","0.5960384153661464","0.6070428171268507","0.6194077631052421","0.6156462585034014","0.6238495398159264"
"18","0.6076830732292917","0.6042416966786714","0.611844737895158","0.6190876350540215","0.6136454581832733","0.6268507402961184"
"21","0.6089235694277711","0.6074429771908764","0.6130452180872349","0.6210884353741497","0.617046818727491","0.6228491396558623"
"24","0.6125650260104042","0.6096438575430172","0.618047218887555","0.6218087234893958","0.6148459383753502","0.625250100040016"
"27","0.6149259703881553","0.60984393757503","0.6178471388555422","0.625250100040016","0.6144457783113245","0.6308523409363745"
"30","0.6160064025610243","0.608843537414966","0.6196478591436575","0.6284113645458184","0.6184473789515806","0.6354541816726691"
"33","0.6187274909963986","0.6108443377350941","0.6242496998799519","0.627450980392157","0.623249299719888","0.6348539415766307"
"36","0.6181672669067627","0.6136454581832733","0.6226490596238495","0.6256502601040416","0.6224489795918368","0.632452981192477"
"39","0.6221688675470188","0.6188475390156063","0.6308523409363745","0.6280912364945979","0.6220488195278111","0.6316526610644257"
"42","0.6216086434573829","0.6206482593037215","0.6240496198479392","0.6309723889555823","0.6276510604241696","0.6342537014805922"
"45","0.62296918767507","0.6212484993997599","0.6246498599439776","0.6320528211284514","0.6226490596238495","0.6378551420568227"
"48","0.6258503401360545","0.6230492196878752","0.6296518607442977","0.631172468987595","0.6254501800720288","0.6390556222488996"
"51","0.625250100040016","0.6220488195278111","0.6292517006802721","0.631172468987595","0.6192476990796318","0.6356542617046819"
"54","0.6265706282513006","0.6220488195278111","0.6340536214485795","0.6320928371348539","0.6268507402961184","0.6346538615446179"
"57","0.6279711884753902","0.6244497799119648","0.6308523409363745","0.6367747098839536","0.6340536214485795","0.64265706282513"
"60","0.6276110444177672","0.6244497799119648","0.6288515406162465","0.6343737494997999","0.6292517006802721","0.6380552220888356"
"63","0.6294517807122849","0.6248499399759904","0.6330532212885154","0.6352941176470588","0.6288515406162465","0.6410564225690276"
"66","0.6307723089235695","0.6264505802320929","0.6348539415766307","0.6384153661464586","0.6348539415766307","0.6414565826330533"
"69","0.6298519407763105","0.6236494597839136","0.6350540216086434","0.6359343737494998","0.6260504201680672","0.6420568227290916"
"72","0.6303721488595438","0.6224489795918368","0.6362545018007203","0.6369347739095639","0.6274509803921569","0.6442577030812325"
"75","0.629091636654662","0.6242496998799519","0.6330532212885154","0.6366546618647458","0.6276510604241696","0.6466586634653861"
"78","0.6303321328531413","0.6278511404561825","0.6348539415766307","0.6413365346138455","0.6360544217687075","0.6498599439775911"
"81","0.6302921168467387","0.6258503401360545","0.6358543417366946","0.6402561024409764","0.6374549819927972","0.6414565826330533"
"84","0.630092036814726","0.6248499399759904","0.636654661864746","0.6415366146458583","0.6364545818327331","0.6522609043617447"
"87","0.6298519407763105","0.6236494597839136","0.634453781512605","0.6378551420568227","0.6270508203281312","0.6494597839135654"
"90","0.6340936374549819","0.6284513805522209","0.6392557022809123","0.6406562625050021","0.6336534613845538","0.6498599439775911"
"93","0.6319327731092437","0.6246498599439776","0.6370548219287715","0.6378951580632253","0.6292517006802721","0.6476590636254502"
"96","0.6345738295318127","0.6304521808723489","0.6374549819927972","0.6384153661464586","0.6310524209683873","0.6464585834333734"
"99","0.6338935574229693","0.6250500200080032","0.6420568227290916","0.6381352541016406","0.6294517807122849","0.6464585834333734"
"102","0.6326930772308923","0.6270508203281312","0.6348539415766307","0.6372949179671868","0.6306522609043618","0.6458583433373349"
"105","0.6333733493397359","0.6274509803921569","0.6414565826330533","0.6378551420568228","0.6298519407763106","0.6452581032412965"
"108","0.634733893557423","0.6300520208083233","0.6384553821528611","0.6408963585434173","0.632452981192477","0.6544617847138856"
"111","0.6341736694677872","0.6298519407763106","0.6390556222488996","0.6420568227290916","0.6354541816726691","0.6506602641056423"
"114","0.6334133653461385","0.6268507402961184","0.6374549819927972","0.6395758303321328","0.6318527410964386","0.6526610644257703"
"117","0.6328531412565026","0.6246498599439776","0.6380552220888356","0.6419367747098839","0.634453781512605","0.65906362545018"
"120","0.6338535414165667","0.6238495398159264","0.6420568227290916","0.6410564225690276","0.6340536214485795","0.6498599439775911"
"123","0.633893557422969","0.6264505802320929","0.6398559423769508","0.6420968387354942","0.6364545818327331","0.6530612244897959"
"126","0.6368147258903563","0.6272509003601441","0.6430572228891557","0.6434173669467788","0.6370548219287715","0.6532613045218087"
"129","0.6360544217687074","0.6286514605842337","0.6410564225690276","0.6436174469787915","0.6348539415766307","0.6510604241696679"
"132","0.6372148859543818","0.6290516206482593","0.6444577831132453","0.6437374949979993","0.6348539415766307","0.6556622649059624"
"135","0.6359343737494998","0.6288515406162465","0.6404561824729892","0.6418967587034813","0.6328531412565026","0.6554621848739496"
"138","0.6357743097238895","0.6260504201680672","0.6430572228891557","0.6418567426970788","0.6306522609043618","0.6556622649059624"
"141","0.6369347739095639","0.6224489795918368","0.6484593837535014","0.6399759903961585","0.632452981192477","0.6500600240096038"
"144","0.6393357342937175","0.6316526610644257","0.6432573029211685","0.6406162464985995","0.6318527410964386","0.6554621848739496"
"147","0.6397358943577431","0.6312525010004002","0.6442577030812325","0.6416966786714686","0.6326530612244898","0.6512605042016807"
"150","0.6365346138455382","0.6296518607442977","0.6410564225690276","0.6433773509403762","0.6348539415766307","0.6524609843937575"
"153","0.6378951580632253","0.6352541016406562","0.6412565026010404","0.6442977190876351","0.6384553821528611","0.650860344137655"
"156","0.6388555422168868","0.6316526610644257","0.6462585034013606","0.6441776710684273","0.6362545018007203","0.6546618647458984"
"159","0.6383353341336535","0.6332533013205283","0.6468587434973989","0.641576630652261","0.6332533013205283","0.6490596238495399"
"162","0.6399359743897559","0.6360544217687075","0.6460584233693477","0.6376150460184073","0.632452981192477","0.6434573829531812"
"165","0.6424969987995198","0.6400560224089635","0.6476590636254502","0.6386954781912765","0.6306522609043618","0.6516606642657062"
"168","0.6401360544217687","0.636654661864746","0.6432573029211685","0.6380952380952382","0.6280512204881953","0.6480592236894758"
"171","0.6417366946778712","0.6390556222488996","0.647859143657463","0.641936774709884","0.6322529011604642","0.6500600240096038"
"174","0.6322529011604642","0.6322529011604642","0.6322529011604642","","",""
